question,reference
Chỉ số VN30 kết phiên ngày 20/5 tại bao nhiêu điểm?,"Trên thị trường cơ sở, chỉ số VN30 tăng +27,77 điểm, kết phiên tại 1.407,52 điểm."
"Tính đến ngày 16/5, nhóm doanh nghiệp nào dẫn đầu về giá trị mua lại trái phiếu trước hạn và chiếm tỷ lệ bao nhiêu trên tổng lượng mua lại?","Nhóm doanh nghiệp bất động sản tiếp tục dẫn đầu về giá trị mua lại, chiếm khoảng 53,2% tổng lượng mua lại trên thị trường, tương đương 27.416 tỷ đồng."
VN-Index đã tăng bao nhiêu điểm và đạt mức nào vào cuối phiên giao dịch ngày 20/5?,"Kết thúc phiên giao dịch, VN-Index tăng 18,86 điểm, lên mức 1.315,15 điểm."
Việc đơn giản hóa thủ tục mở tài khoản đầu tư gián tiếp theo Thông tư 03/2025/TT-NHNN mang lại kết quả cụ thể nào cho nhà đầu tư nước ngoài?,"Theo đó, nhà đầu tư nước ngoài không còn phải hợp pháp hóa lãnh sự hồ sơ khi mở tài khoản, giúp rút ngắn thời gian mở tài khoản từ vài tháng xuống còn vài ngày."
Các yếu tố nào góp phần củng cố kỳ vọng tăng trưởng khả quan cho quý II/2025?,Tín dụng tăng mạnh cùng các tín hiệu tích cực từ bất động sản và đầu tư công góp phần củng cố kỳ vọng tăng trưởng khả quan cho quý II/2025.
Nghị quyết 68-NQ/TW của Bộ Chính trị được kỳ vọng mang lại những tác động nào cho thị trường chứng khoán Việt Nam?,"Nghị quyết 68-NQ/TW của Bộ Chính trị không chỉ mở đường cho khu vực tư nhân bứt phá mà còn thổi luồng gió mới vào thị trường chứng khoán, với kỳ vọng thúc đẩy niêm yết, tăng thanh khoản và nâng vị thế thị trường vốn Việt Nam."
Mức giảm của các hợp đồng tương lai và chỉ số cơ sở trong phiên giao dịch ngày 19/5 là bao nhiêu?,"Cụ thể, các hợp đồng tương lai giảm từ -3,6 điểm đến -6,7 điểm; trong khi đó, chỉ số cơ sở giảm -4,69 điểm."
"Kết thúc phiên giao dịch ngày 19/5/2025, chỉ số VN-Index biến động ra sao và đạt mức nào?","Kết thúc phiên giao dịch, VN-Index giảm -5,1 điểm, về mức 1.296,29 điểm."
"Theo nghị quyết HĐQT SHB, ngày đăng ký cuối cùng cho cổ tức tiền mặt 2024, tỷ lệ và ngày thanh toán là gì?","Theo Nghị quyết của Hội đồng quản trị (HĐQT) của SHB, ngày 10/6/2025 là ngày đăng ký cuối cùng để cổ đông thực hiện quyền nhận cổ tức năm 2024 bằng tiền mặt với tỷ lệ 5% và ngày 20/6/2025 là ngày thanh toán tiền cho người sở hữu chứng khoán."
Khoảng bao nhiêu tỷ đồng trái phiếu doanh nghiệp ước tính sẽ đáo hạn trong 8 tháng còn lại của năm 2025?,"Trong 8 tháng còn lại của năm 2025, ước tính sẽ có khoảng 163.212 tỷ đồng trái phiếu đáo hạn."
Khối ngoại đã mua ròng bao nhiêu tỷ đồng trong tuần qua (12/5 - 16/5)?,"Khối ngoại mua ròng mạnh mẽ trong tuần qua +2,921 tỷ đồng."
Hợp đồng VN30F2506 đóng cửa tại mức điểm nào và thay đổi như thế nào trong phiên giao dịch ngày 16/5?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.384,2 điểm, giảm -11,7 điểm so với phiên kế trước."
VN-Index đã thay đổi như thế nào và đóng cửa ở mức bao nhiêu điểm trong phiên giao dịch ngày 16/5/2025?,"Kết thúc phiên giao dịch, VN-Index giảm -11,81 điểm, về mức 1.301,39 điểm."
Mức tăng trưởng lợi nhuận của doanh nghiệp niêm yết trong quý I/2025 là bao nhiêu và nhờ vào những yếu tố nào?,"Lợi nhuận quý I/2025 của doanh nghiệp niêm yết bật tăng 22,6% nhờ nền thấp và cải thiện nội tại."
"Theo dự thảo, hệ số rủi ro đối với các khoản đầu tư vào quỹ thành viên được điều chỉnh như thế nào?","Theo dự thảo, hệ số rủi ro đối với các khoản đầu tư vào quỹ thành viên cũng được điều chỉnh đáng kể – từ 30% lên 80%."
Khối ngoại đã mua ròng bao nhiêu tỷ đồng trong tuần đầu tháng 5?,"Thống kê cho thấy, khối ngoại đã quay lại mua ròng 1.222 tỷ đồng trong tuần đầu tháng 5."
Tổng khối lượng giao dịch hợp đồng tương lai ngày 15/5 là bao nhiêu?,"Theo đó, tổng khối lượng giao dịch hợp đồng tương lai đạt 200.141 hợp đồng, trong đó riêng hợp đồng VN30F2505 đạt 163.958 hợp đồng."
"Kết thúc phiên giao dịch ngày 15/5, chỉ số VN-Index thay đổi như thế nào?","Kết thúc phiên giao dịch, VN-Index tăng 3,47 điểm, lên mức 1.313,2 điểm."
Chứng khoán Vietinbank sẽ phát hành cổ phiếu trả cổ tức từ nguồn nào và với giá trị bao nhiêu?,Chứng khoán Vietinbank phát hành cổ phiếu trả cổ tức từ lợi nhuận chưa phân phối gần 655 tỷ đồng.
Sữa Quốc tế Lof có kế hoạch mua lại tối đa bao nhiêu cổ phiếu và nhằm mục tiêu gì?,"Sữa Quốc tế Lof cũng đang lên kế hoạch mua lại tối đa 3 triệu cổ phiếu, tương đương 5% vốn điều lệ, nhằm mục tiêu giảm lượng cổ phiếu lưu hành và gia tăng giá trị cho các cổ đông hiện hữu."
Lợi nhuận sau thuế của Bao bì Mỹ Châu (MCP) năm 2024 là bao nhiêu và so với kế hoạch cũng như cùng kỳ năm 2023 thì như thế nào?,"Lợi nhuận sau thuế đạt 30,1 tỷ đồng – vượt 35% kế hoạch và tăng tới 173% so với cùng kỳ năm 2023."
"Trong tuần từ 28/4 - 9/5, những tổ chức phát hành nào có trái phiếu doanh nghiệp riêng lẻ được giao dịch nhiều nhất?","Các tổ chức phát hành có trái phiếu được giao dịch nhiều nhất bao gồm Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh (6.391 tỷ đồng), Tập đoàn Vingroup - CTCP (6.110 tỷ đồng) và Ngân hàng TMCP Quốc tế Việt Nam (3.842 tỷ đồng)."
Giá trị mua ròng của khối ngoại trên thị trường chứng khoán Việt Nam trong phiên giao dịch ngày 14/5 là bao nhiêu?,Khối ngoại tiếp tục mua ròng tích cực trên thị trường chứng khoán Việt Nam với giá trị đột biến 2.266 tỷ đồng trong phiên hôm nay.
Hợp đồng VN30F2505 đóng cửa tại mức điểm nào và tăng bao nhiêu điểm so với phiên trước vào ngày 14/5?,"Hợp đồng tháng VN30F2505 đóng cửa tại 1.396,5 điểm, tăng +16,5 điểm so với phiên trước."
Lợi nhuận sau thuế của Hoa Sen sau 7 tháng đầu niên độ tài chính 2024-2025 ước đạt là bao nhiêu?,Lợi nhuận sau thuế ước đạt 460 tỷ đồng.
Cổ phiếu VPB kết phiên giao dịch ngày 14/5 ở mức giá bao nhiêu?,"Cụ thể, kết phiên giao dịch ngày 14/5, cổ phiếu Ngân hàng Thương mại CP Việt Nam Thịnh Vượng (VPBank, mã Ck: VPB) ghi nhận tăng trần lên mức 18.900 đồng/cổ phiếu - mức giá cao nhất trong vòng hơn 1 tháng qua."
Mức phạt tối đa đối với hành vi thao túng thị trường tài sản mã hóa tại Việt Nam là bao nhiêu?,Thao túng thị trường tài sản mã hóa tại Việt Nam có thể bị xử phạt tới 2 tỷ đồng.
Mức giảm của dòng vốn đầu tư trực tiếp nước ngoài (FDI) đăng ký mới vào Việt Nam trong 4 tháng đầu năm 2025 là bao nhiêu phần trăm?,"Việc Mỹ gia tăng các biện pháp bảo hộ thương mại khiến dòng vốn đầu tư trực tiếp nước ngoài (FDI) đăng ký mới vào Việt Nam tiếp tục suy giảm, với mức giảm 24% trong 4 tháng đầu năm 2025, sau khi đã giảm 3% trong cùng kỳ năm trước."
Sanest Khánh Hòa công bố tỷ lệ chi trả cổ tức năm 2024 và số tiền mỗi cổ phiếu nhận được là bao nhiêu?,"Tỷ lệ chi trả cổ tức được công bố là 11,59%, tức cổ đông sở hữu 1 cổ phiếu sẽ nhận 1.159 đồng."
"Theo các chuyên gia, nguyên nhân nào khiến giá trị phát hành trái phiếu bất động sản được dự báo sẽ tăng mạnh trong 3 quý cuối năm?","Theo các chuyên gia, áp lực tài chính lên các doanh nghiệp bất động sản sẽ tiếp tục cao trong thời gian tới, điều này khiến giá trị phát hành trái phiếu cũng sẽ tăng mạnh trong 3 quý cuối năm."
"Theo bài viết, xác suất thị trường chứng khoán Việt Nam được nâng hạng trong kỳ đánh giá tháng 9/2025 như thế nào và nhờ vào đâu?","Xác suất thị trường chứng khoán Việt Nam được nâng hạng trong kỳ đánh giá tháng 9/2025 là tương đối sáng, nhờ sự phối hợp rõ rệt giữa hạ tầng công nghệ, cải cách thể chế và quyết tâm chính sách."
Tập đoàn Đua Fat bị xử phạt bao nhiêu tiền và vì lý do gì?,Tập đoàn Đua Fat bị xử phạt 470 triệu đồng do có nhiều vi phạm về công bố thông tin.
"Bài viết ""Đầu tư công bứt tốc, thị trường vật liệu và xây lắp đón sóng tăng trưởng"" được đăng vào ngày nào?",Ngày đăng: 13/05/2025.
Thanh khoản thị trường chứng khoán phái sinh ngày 13/5 thay đổi như thế nào so với phiên trước?,Thanh khoản thị trường chứng khoán phái sinh thu hẹp với phiên trước.
Giao dịch khối ngoại ngày 13/5 có điểm gì nổi bật và giá trị ròng là bao nhiêu trên toàn thị trường?,Giao dịch khối ngoại bất ngờ trở thành điểm sáng khi đảo chiều mua ròng mạnh tay ﻿985 tỷ đồng trên toàn thị trường.
"PPH đã giải trình nguyên nhân lợi nhuận quý I/2025 tăng 13,5% như thế nào?","Theo giải trình của PPH, nguyên nhân lợi nhuận tăng là do: ""trong quý I/2025 tình hình nhìn chung có nhiều cải thiện. Ngành dệt may Việt Nam ghi nhận sự phục hồi và tăng trưởng tích cực, thể hiện qua các chỉ số xuất khẩu và kết quả kinh doanh khả quan của nhiều doanh nghiệp trong ngành. Bên cạnh đó, Tổng công ty đã chủ động triển khai linh hoạt các chiến lược kinh doanh phù hợp với bối cảnh thị trường...""."
Vinpearl niêm yết bao nhiêu cổ phiếu trên HOSE và được định giá bao nhiêu?,"Vinpearl niêm yết gần 1,8 tỷ cổ phiếu trên HOSE, định giá gần 130.000 tỷ đồng."
Vì sao Công ty cổ phần Sức khỏe hồi sinh Việt Nam bị phạt 150 triệu đồng?,"Do có hành vi công bố thông tin sai lệch đối với báo cáo tình hình QTCT năm 2020. Cụ thể, tại BCTC năm 2020, công ty có phát sinh giao dịch với bên liên quan là thu hồi khoản tạm ứng 18 tỷ đồng của Tổng Giám đốc - ông Lưu Quang Thịnh chuyển sang cho bà Phan Thị Thanh Huyền vay, tuy nhiên tại báo cáo tình hình QTCT năm 2020, mục VII.2. “Giao dịch giữa Công ty với người có liên quan của Công ty...” Công ty nêu “không có”."
Thỏa thuận Mỹ-Trung quy định việc cắt giảm thuế đối ứng ở mức nào và trong bao lâu?,hai bên cùng nhất trí cắt giảm 115% thuế đối ứng đánh vào hàng hóa của nhau trong 90 ngày.
Các hợp đồng tương lai và chỉ số cơ sở tăng bao nhiêu điểm vào ngày 12/5?,"Theo đó, các hợp đồng tương lai tăng từ +23,5 điểm đến +25,7 điểm; trong khi đó, chỉ số cơ sở tăng +19,79 điểm."
Chỉ số VN-Index đã tăng bao nhiêu điểm và đạt mức nào vào cuối phiên giao dịch ngày 12/5?,"Kết thúc phiên giao dịch, VN-Index tăng 15,95 điểm, lên mức 1.283,26 điểm."
"Theo giới chuyên gia, giai đoạn nào được dự báo sẽ là 'thử lửa' về sức chịu đựng của doanh nghiệp niêm yết?",Khả năng quý II sẽ là giai đoạn ‘thử lửa’ về sức chịu đựng của doanh nghiệp niêm yết.
"Theo VDSC, mức định giá hiện tại của thị trường là gì và chiến lược phân bổ danh mục nào được cho là phù hợp?","Về tổng thể, mức định giá hiện tại của thị trường là phù hợp để tích lũy cổ phiếu trong dài hạn. Tuy nhiên, nhằm đối phó với sự bất định gia tăng và rủi ro kinh tế tiềm ẩn, chiến lược phân bổ danh mục có xu hướng phòng thủ sẽ phù hợp trong giai đoạn hiện tại."
VN-Index đã tăng bao nhiêu phần trăm và đạt mức điểm nào vào cuối tuần giao dịch 5/5 - 9/5/2025?,"Kết tuần VN-Index tăng +3,34% lên mức 1.267,30 điểm."
Thị trường chứng khoán đã ghi nhận thêm bao nhiêu tài khoản giao dịch mở mới trong tháng 4/2025?,"Theo thống kê từ Tổng công ty Lưu ký và Bù trừ chứng khoán Việt Nam (VSDC), thị trường chứng khoán đã ghi nhận thêm 194 nghìn tài khoản giao dịch mở mới trong tháng 4, tăng mạnh so với tháng trước đó và chạm mức cao nhất 8 tháng qua."
Đâu là yếu tố then chốt giúp MPC thoát khỏi quỹ đạo lỗ và chuyển sang có lãi trong quý I/2025?,"Nỗ lực cắt giảm mạnh chi phí bán hàng và quản lý doanh nghiệp, giảm tới 24,9% so với cùng kỳ, tương đương giảm 58,4 tỷ đồng, chỉ còn 176,1 tỷ đồng."
Thông tư số 20/2025/TT-BTC có hiệu lực thi hành kể từ ngày nào?,Thông tư này có hiệu lực thi hành kể từ ngày 20/6/2025.
Masan đặt mục tiêu lợi nhuận cho năm 2025 là bao nhiêu?,Masan đặt mục tiêu lợi nhuận năm 2025 đến 6.500 tỷ đồng.
Dòng vốn rút ròng lũy kế từ các quỹ ETF trong 4 tháng đầu năm 2025 là bao nhiêu?,"Tính chung 4 tháng đầu năm 2025, dòng vốn rút ròng lũy kế từ các quỹ ETF lên tới gần 6.590 tỷ đồng, thấp hơn khoảng 24% so với cùng kỳ năm ngoái."
Khuyến nghị của ông Bùi Nguyên Khoa về tỷ trọng vay nợ margin và cổ phiếu cho nhà đầu tư là gì?,nhà đầu tư nên giảm tỷ trọng vay nợ margin và tỷ trọng cổ phiếu xuống để tránh rủi ro thị trường biến động.
"Theo đánh giá của FTSE Russell vào tháng 3/2025, hai tiêu chí nào của thị trường chứng khoán Việt Nam vẫn còn ở trạng thái “Restricted”?","Theo đánh giá mới nhất của FTSE Russell trong tháng 3/2025 cho thấy, vẫn còn hai tiêu chí quan trọng đang ở trạng thái “Restricted”, gồm cơ chế thanh toán giao hàng đối ứng và quy trình xử lý giao dịch thất bại."
Hợp đồng VN30F2505 đóng cửa ở mức giá nào và thay đổi bao nhiêu điểm trong phiên giao dịch ngày 9/5/2025?,"Hợp đồng tháng hiện tại VN30F2505 đóng cửa tại 1.350,5 điểm, giảm -4,5 điểm so với phiên kế trước."
Chỉ số VN-Index kết thúc phiên giao dịch ngày 9/5 ở mức nào?,"Kết thúc phiên giao dịch, VN-Index giảm -2,5 điểm, về mức 1.267,3 điểm."
Buổi làm việc giữa Lãnh đạo Ủy ban Chứng khoán Nhà nước và đại diện Ngân hàng Thế giới nhằm mục đích gì?,Trao đổi về các giải pháp kỹ thuật phục vụ mục tiêu nâng hạng thị trường chứng khoán Việt Nam.
Giá trị vốn hóa cổ phiếu trên HOSE đạt bao nhiêu trong tháng 4/2025?,"Giá trị vốn hóa cổ phiếu trên HOSE đạt hơn 5,12 triệu tỷ đồng trong tháng 4."
Hợp đồng VN30F2505 ngày 8/5/2025 đóng cửa tại mức điểm nào và tăng bao nhiêu điểm so với phiên trước?,"Hợp đồng tháng VN30F2505 đóng cửa tại 1.355 điểm, tăng +30 điểm so với phiên trước."
Mục tiêu lợi nhuận trước thuế năm 2025 của VNDIRECT là bao nhiêu?,VNDIRECT đặt mục tiêu lợi nhuận trước thuế 2025 đạt 2.300 tỷ đồng.
Cổ phiếu nào được khối ngoại mua ròng mạnh nhất toàn thị trường trong phiên ngày 8/5 và với giá trị bao nhiêu?,"Chiều mua, VIC được mua ròng mạnh nhất toàn thị trường với giá trị 145 tỷ đồng."
Vì sao HOSE đưa cổ phiếu PSH sang diện kiểm soát từ ngày 14/5/2025?,Do chậm nộp báo cáo tài chính kiểm toán năm 2024 quá 30 ngày so với quy định.
"Theo giải trình từ PHR, yếu tố nào đã giúp lợi nhuận ròng quý I/2025 tăng trưởng dù doanh thu giảm?","Theo giải trình từ PHR, mặc dù doanh thu giảm, lợi nhuận ròng vẫn ghi nhận tăng trưởng nhờ giá bán cao su trong quý I tăng so với cùng kỳ năm trước. Bên cạnh đó, hoạt động cho thuê đất và hạ tầng khu công nghiệp tiếp tục mang lại giá trị gia tăng, trong đó riêng một khoản doanh thu ghi nhận một lần trong quý đạt 14,5 tỷ đồng."
"Theo ông Trần Ngọc Báu, yếu tố nào sẽ là ""chất xúc tác"" quan trọng nhất giúp VN-Index có thể bứt phá rõ nét trong nửa cuối năm 2025?",Chất xúc tác quan trọng nhất đối với thị trường hiện nay là tiến trình đàm phán thuế quan.
Vốn điều lệ của SHS đã chính thức được nâng lên bao nhiêu sau hai đợt phát hành cổ phiếu gần đây?,"Mới đây, Công ty CP Chứng khoán Sài Gòn - Hà Nội (SHS) đã hoàn tất 2 đợt phát hành cổ phiếu nhằm trả cổ tức và tăng vốn cổ phần từ nguồn vốn chủ sở hữu, qua đó chính thức nâng vốn điều lệ lên gần 8.945 tỷ đồng."
"Lũy kế 4 tháng đầu năm 2025, tổng khối lượng vốn huy động từ kênh đấu thầu trái phiếu chính phủ là bao nhiêu?","Lũy kế 4 tháng đầu năm 2025, tổng khối lượng vốn huy động từ kênh đấu thầu trái phiếu chính phủ đã đạt 152.867 tỷ đồng, tương ứng 30,6% kế hoạch năm."
Cổ phiếu VPL của Vinpearl sẽ chào sàn HOSE vào ngày nào và với giá tham chiếu là bao nhiêu?,Cổ phiếu VPL của Vinpearl sẽ chào sàn HOSE ngày 13/5 với giá tham chiếu 71.300 đồng/cổ phiếu.
Kênh phát hành trái phiếu ra công chúng trong tháng 4 có tổng giá trị bao nhiêu?,"Chỉ có một đợt phát hành trái phiếu công chúng được thực hiện, với tổng giá trị 4.000 tỷ đồng, giảm 73% so với tháng trước."
Khối lượng giao dịch bình quân sản phẩm hợp đồng tương lai chỉ số VN30 trong tháng 4/2025 đã tăng bao nhiêu phần trăm so với tháng trước?,"Tháng 4/2025, thị trường chứng khoán phái sinh có khối lượng giao dịch (KLGD) bình quân sản phẩm hợp đồng tương lai chỉ số VN30 đạt 263.995 hợp đồng, tăng 50,77%, tương ứng GTGD bình quân đạt 33.700 tỷ đồng (theo danh nghĩa hợp đồng) tăng 39,62% so với tháng trước."
Chỉ tiêu lợi nhuận trước thuế Vietravel đề ra cho năm 2025 là bao nhiêu?,50 tỷ đồng
Tổng khối lượng giao dịch của các hợp đồng tương lai trên thị trường chứng khoán phái sinh ngày 7/5 là bao nhiêu?,tổng khối lượng giao dịch của các hợp đồng tương lai đạt 142.748 hợp đồng
"Kết thúc phiên giao dịch ngày 07/5, VN-Index tăng bao nhiêu điểm và đóng cửa ở mức nào?","Kết thúc phiên giao dịch, VN-Index tăng 8,42 điểm, lên mức 1.250,37 điểm."
